mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
240.79523611068726,0.0,0.8144421577453613,0.0,True,,30,sqrt,13,10,358,"{'bootstrap': True, 'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 13, 'min_samples_split': 10, 'n_estimators': 358}",0.8440418907444098,0.8440418907444098,0.0,16,0.9622029663494763,0.9622029663494763,0.0
122.31921124458313,0.0,0.8232462406158447,0.0,False,balanced,10,log2,7,2,484,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 2, 'n_estimators': 484}",0.8433451118963486,0.8433451118963486,0.0,17,0.8651652529979527,0.8651652529979527,0.0
254.99489045143127,0.0,0.5505268573760986,0.0,True,balanced,,sqrt,10,29,287,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 29, 'n_estimators': 287}",0.8411847672778562,0.8411847672778562,0.0,18,0.9738197876143413,0.9738197876143413,0.0
1713.8177199363708,0.0,0.6650712490081787,0.0,False,,30,0.3,12,24,343,"{'bootstrap': False, 'class_weight': None, 'max_depth': 30, 'max_features': 0.3, 'min_samples_leaf': 12, 'min_samples_split': 24, 'n_estimators': 343}",0.8396946564885496,0.8396946564885496,0.0,19,0.9761479457812335,0.9761479457812335,0.0
2306.7371377944946,0.0,0.4476003646850586,0.0,False,balanced,30,0.5,8,22,307,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 22, 'n_estimators': 307}",0.8392907402195328,0.8392907402195328,0.0,20,0.9722735674676525,0.9722735674676525,0.0
2449.4941210746765,0.0,0.3919527530670166,0.0,True,,30,0.7,3,13,459,"{'bootstrap': True, 'class_weight': None, 'max_depth': 30, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 459}",0.8391647855530474,0.8391647855530474,0.0,21,0.9789755151260945,0.9789755151260945,0.0
388.48004841804504,0.0,0.9145364761352539,0.0,True,,,sqrt,7,10,443,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 443}",0.8389091931402868,0.8389091931402868,0.0,22,0.9933398729929268,0.9933398729929268,0.0
311.07037138938904,0.0,0.9994220733642578,0.0,False,balanced,30,log2,4,23,576,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 23, 'n_estimators': 576}",0.8382352941176471,0.8382352941176471,0.0,23,0.990927471615947,0.990927471615947,0.0
1609.7065126895905,0.0,0.44585609436035156,0.0,False,,,0.5,2,2,147,"{'bootstrap': False, 'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 147}",0.8365573310905523,0.8365573310905523,0.0,24,0.999330207635633,0.999330207635633,0.0
6276.216653108597,0.0,0.11286616325378418,0.0,False,,,0.5,4,6,506,"{'bootstrap': False, 'class_weight': None, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 506}",0.836231071228267,0.836231071228267,0.0,25,0.9991757675664538,0.9991757675664538,0.0
6404.864409685135,0.0,0.2719385623931885,0.0,False,,,0.7,14,8,382,"{'bootstrap': False, 'class_weight': None, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 14, 'min_samples_split': 8, 'n_estimators': 382}",0.8334271243669106,0.8334271243669106,0.0,26,0.9878036175710594,0.9878036175710594,0.0
552.2685062885284,0.0,0.5436139106750488,0.0,True,,5,0.5,14,19,364,"{'bootstrap': True, 'class_weight': None, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 14, 'min_samples_split': 19, 'n_estimators': 364}",0.8330373001776199,0.8330373001776199,0.0,27,0.8374267621471267,0.8374267621471267,0.0
858.8878509998322,0.0,0.6225645542144775,0.0,True,balanced,5,0.5,2,11,545,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 545}",0.831353919239905,0.831353919239905,0.0,28,0.8358332839271951,0.8358332839271951,0.0
1219.1400594711304,0.0,1.0277526378631592,0.0,False,,5,0.5,15,29,554,"{'bootstrap': False, 'class_weight': None, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 29, 'n_estimators': 554}",0.8307600950118765,0.8307600950118765,0.0,29,0.8350619332661648,0.8350619332661648,0.0
17.893037796020508,0.0,0.4523813724517822,0.0,True,,5,log2,13,20,162,"{'bootstrap': True, 'class_weight': None, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 20, 'n_estimators': 162}",0.7980416156670747,0.7980416156670747,0.0,30,0.8076358296622613,0.8076358296622613,0.0
