,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
validation,0.89058106841612,0.8807989690721649,0.9823182711198428,0.7731958762886598,0.8653014133256418,0.8853770326283346,0.9170104260662268
test,0.8269400352733686,0.8269400352733687,0.961648611629934,0.6810405643738977,0.7973775231015435,0.8460049410710786,0.8934602371184749
