,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
validation,0.8005882352941176,0.8005882352941176,0.8104528669777775,0.8005882352941176,0.8028253904785374,0.8104528669777775,0.8005882352941176,0.8028253904785374
test,0.7353962418300654,0.7353962418300655,0.846945405906335,0.7353962418300655,0.7727958514083169,0.8469454059063348,0.7353962418300654,0.7727958514083167
