Model,Precision,Recall,F1-Score
iforest,0.9820293654955428,0.4682000575021563,0.6340875424295521
pca,0.9874636110721022,0.6504493918521944,0.7842847625622119
knn,0.9868942865543627,0.6881033038738953,0.8108491893157905
svm,0.9875108111504542,0.6679625485955724,0.7968962282581624
